stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening C:\Users\Pablish\OneDrive\Desktop\projecto1\bin\Debug\allegro5.cfg r
system   D            wsystem.c:891  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\Windows\system32\shcore.dll
system   D            wsystem.c:797  load_library_at_path             [   0.00000] Calling LoadLibrary C:\Windows\system32\shcore.dll
system   I            wsystem.c:800  load_library_at_path             [   0.00000] Loaded C:\Windows\system32\shcore.dll
system   I             system.c:271  al_install_system                [   0.00000] Allegro version: 5.2.9
system   D            wsystem.c:891  _al_win_safe_load_library        [   0.00048] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:797  load_library_at_path             [   0.00085] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:800  load_library_at_path             [   0.00332] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:679  d3d_init_display                 [   0.04086] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1780 d3d_create_display_locked        [   0.04153] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1781 d3d_create_display_locked        [   0.04156] al_display=0000000000d77fe0
d3d      D         d3d_disp.cpp:1782 d3d_create_display_locked        [   0.04158] al_display->vt=000000000254ae40
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.04438] found 64 format combinations
display  D   display_settings.c:214  debug_display_settings           [   0.04442] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04445] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.04447] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04449] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.04450] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04452] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.04454] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04456] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.04457] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04459] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.04461] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04463] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.04465] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04466] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.04468] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04470] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.04472] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04473] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.04475] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04477] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.04482] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04485] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.04488] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04490] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.04491] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04493] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.04495] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04497] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.04498] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04500] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.04502] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04503] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.04505] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04507] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04508] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04510] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04512] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04514] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04515] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04517] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04519] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04521] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04522] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04524] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04526] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04528] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04529] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04531] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04533] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04534] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04536] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04540] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04542] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04544] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04545] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04547] Single Buffer requirement not met.
